feature_set,model,pool,share_affected,codes_added,pct_rise_total_predicted,dollars_per_added_code,dollars_per_code_fold_sd,n_folds
F2,CANN,chronic,0.05,1,2.2161555706492115,3389.9611482209284,607.1967005410634,5.0
F2,CANN,chronic,0.05,2,5.088818152515704,3870.0359197523426,591.2322276049288,5.0
F2,CANN,chronic,0.1,1,4.321231823290111,3372.3807479650577,547.3283968772971,5.0
F2,CANN,chronic,0.1,2,10.180080355107336,3907.219185322548,789.2759133585182,5.0
F2,CANN,chronic,0.25,1,10.871757372189224,3414.5227532962685,686.690898402233,5.0
F2,CANN,chronic,0.25,2,24.907379367362893,3821.525068420898,626.7960131915503,5.0
F2,CANN,own-targeted,0.05,1,5.313239130708599,8127.441260377248,2078.015541942599,5.0
F2,CANN,own-targeted,0.05,2,14.513586459794997,11037.553168621414,1414.5185810232997,5.0
F2,CANN,own-targeted,0.1,1,10.848700152294626,8466.555146811837,1986.6100719869057,5.0
F2,CANN,own-targeted,0.1,2,29.841265955928385,11453.383744541828,1744.7211410592604,5.0
F2,CANN,own-targeted,0.25,1,26.856951173022583,8435.036556190764,1990.9969957397045,5.0
F2,CANN,own-targeted,0.25,2,73.51544011816759,11279.432219019433,1299.6451691739892,5.0
F2,CANN,prevalence,0.05,1,1.0884055037273503,1664.8887018634175,227.64572239935885,5.0
F2,CANN,prevalence,0.05,2,2.473737064371521,1881.2720376749514,196.72968061360902,5.0
F2,CANN,prevalence,0.1,1,2.458656223218513,1918.78733937805,280.834673263055,5.0
F2,CANN,prevalence,0.1,2,5.040895268539305,1934.7472728500634,190.37526864991543,5.0
F2,CANN,prevalence,0.25,1,5.836607493758249,1833.1193759416972,186.81755902686658,5.0
F2,CANN,prevalence,0.25,2,12.532019453005393,1922.7806262248712,136.81635258837937,5.0
F2,CANN,targeted,0.05,1,4.230478598017464,6471.187436294544,1890.0963994008684,5.0
F2,CANN,targeted,0.05,2,9.88253695018221,7515.649376580252,1120.3251593794712,5.0
F2,CANN,targeted,0.1,1,8.307325888726906,6483.212898511852,1499.6261825953784,5.0
F2,CANN,targeted,0.1,2,19.738654054600392,7575.897745825426,1142.5969797355565,5.0
F2,CANN,targeted,0.25,1,20.643011578564714,6483.407449091546,1515.6446181203573,5.0
F2,CANN,targeted,0.25,2,49.2375839804117,7554.494542134744,802.077775625994,5.0
F2,Constrained WLS,chronic,0.05,1,2.0898888264965922,2864.942530836117,119.33261946336485,5.0
F2,Constrained WLS,chronic,0.05,2,4.7554888739204415,3241.0929622762974,156.71696672053733,5.0
F2,Constrained WLS,chronic,0.1,1,4.176235926477025,2920.870580420678,149.86008233438366,5.0
F2,Constrained WLS,chronic,0.1,2,9.202799323078533,3165.4450165306102,212.22964120005201,5.0
F2,Constrained WLS,chronic,0.25,1,10.12729951957194,2850.5073674823298,221.76080563955367,5.0
F2,Constrained WLS,chronic,0.25,2,22.632085628098885,3111.9421035533182,113.16766906881921,5.0
F2,Constrained WLS,own-targeted,0.05,1,12.597321642405838,17269.149483157747,1279.7831036483162,5.0
F2,Constrained WLS,own-targeted,0.05,2,25.45628949766364,17349.67800871485,1323.345612660391,5.0
F2,Constrained WLS,own-targeted,0.1,1,24.97761826653739,17469.413042775945,1232.0779289813188,5.0
F2,Constrained WLS,own-targeted,0.1,2,50.33119613882286,17312.192562334974,1380.1141615482927,5.0
F2,Constrained WLS,own-targeted,0.25,1,61.92416218231054,17429.649452424586,1388.5290244260682,5.0
F2,Constrained WLS,own-targeted,0.25,2,126.25057992520378,17359.623930526268,1430.727062890172,5.0
F2,Constrained WLS,prevalence,0.05,1,1.534103107566139,2103.038775953403,235.7914866364878,5.0
F2,Constrained WLS,prevalence,0.05,2,3.2200594557792366,2194.6244259916502,255.70149140072942,5.0
F2,Constrained WLS,prevalence,0.1,1,3.0120684949843386,2106.648764126076,195.1922204129973,5.0
F2,Constrained WLS,prevalence,0.1,2,5.871302594106685,2019.5252427650541,62.48183987624977,5.0
F2,Constrained WLS,prevalence,0.25,1,7.861546777398088,2212.771229435052,163.0910549179546,5.0
F2,Constrained WLS,prevalence,0.25,2,15.000201614618856,2062.547824066448,110.62574990373435,5.0
F2,Constrained WLS,targeted,0.05,1,11.70621679868137,16047.57054850217,1739.9575508705475,5.0
F2,Constrained WLS,targeted,0.05,2,23.974379767449438,16339.685697794695,1455.8038178457448,5.0
F2,Constrained WLS,targeted,0.1,1,23.113843242538074,16165.883804494915,1510.3076824974362,5.0
F2,Constrained WLS,targeted,0.1,2,47.047096190312885,16182.575643520995,1666.7084742103898,5.0
F2,Constrained WLS,targeted,0.25,1,57.535976859953585,16194.517167941209,1483.5628843011139,5.0
F2,Constrained WLS,targeted,0.25,2,117.49317962470397,16155.469653248323,1601.837324216685,5.0
F2,LightGBM (Tweedie),chronic,0.05,1,1.974834781224114,3031.0850875461906,221.65574218698222,5.0
F2,LightGBM (Tweedie),chronic,0.05,2,3.9033814313792488,2978.598314867891,254.20799547074208,5.0
F2,LightGBM (Tweedie),chronic,0.1,1,3.711702932226316,2906.532135834164,119.99120514658813,5.0
F2,LightGBM (Tweedie),chronic,0.1,2,7.681058441697561,2958.084131005683,198.00199266800993,5.0
F2,LightGBM (Tweedie),chronic,0.25,1,9.290317674081633,2927.7480979955344,196.23909489984445,5.0
F2,LightGBM (Tweedie),chronic,0.25,2,19.159522884991464,2949.6212312659472,216.33686170943008,5.0
F2,LightGBM (Tweedie),own-targeted,0.05,1,3.5485415503585718,5446.4968300602695,560.8454667471449,5.0
F2,LightGBM (Tweedie),own-targeted,0.05,2,8.308826243793002,6340.311927842287,908.2545391191021,5.0
F2,LightGBM (Tweedie),own-targeted,0.1,1,7.036406125745166,5510.015456164663,497.05841381607513,5.0
F2,LightGBM (Tweedie),own-targeted,0.1,2,16.724732275847163,6440.930701936982,861.566775574535,5.0
F2,LightGBM (Tweedie),own-targeted,0.25,1,17.48768031424585,5511.062654103312,489.6677029070414,5.0
F2,LightGBM (Tweedie),own-targeted,0.25,2,41.24707218584944,6350.014067534273,828.8928278338362,5.0
F2,LightGBM (Tweedie),prevalence,0.05,1,1.3320994786159497,2044.57957858027,77.32505229135722,5.0
F2,LightGBM (Tweedie),prevalence,0.05,2,2.599798279126476,1983.858075193623,105.60270429882472,5.0
F2,LightGBM (Tweedie),prevalence,0.1,1,2.5998795002078308,2035.8938887703455,88.54313149585046,5.0
F2,LightGBM (Tweedie),prevalence,0.1,2,5.076294605544614,1954.9527751871424,46.14188414495963,5.0
