feature_set,model,payment_per_dollar_of_use,fold_sd,pct_rise_total_predicted
F3,CANN,0.2385300841232866,0.1119821457591714,0.4693503426222453
F3,Constrained WLS,0.3404774638466778,0.0809062266487208,0.7172355951203367
F3,LightGBM (Tweedie),0.3420017063846945,0.07078463316710167,0.7087578099128018
F3,LightGBM (squared error),0.319474969741583,0.06758661483759372,0.6623836473519616
F3,Payment-form WLS (non-negative),0.009934353661556952,0.0035080749247478364,0.019020986238509008
F3,Tweedie GLM,0.23827310142799812,0.11179870883496927,0.46889076152408354
F3,Two-part,0.039490164583115585,0.01747404291062525,0.08316224310738626
F3,WLS,0.28000607712039116,0.0681537272919266,0.5708387694643459
