fold_a,fold_b,spearman_all,spearman_top30
0,1,0.7974047472215015,0.6943270300333704
0,2,0.8502281918032668,0.8264738598442714
0,3,0.785387350009988,0.6569521690767519
0,4,0.8520326273229615,0.7935483870967741
1,2,0.7730212161796574,0.714349276974416
1,3,0.8198626121357272,0.7530589543937708
1,4,0.7543982213712007,0.7058954393770857
2,3,0.7735378467475637,0.7414905450500555
2,4,0.8271983886624719,0.8949944382647386
3,4,0.7132043477631879,0.7975528364849833
