feature_set,model,against,d_r2,d_r2_lo,d_r2_hi,p_r2_le_0,d_cpm,d_cpm_lo,d_cpm_hi,d_mae,d_mae_lo,d_mae_hi
F3,Payment-form WLS (non-negative),WLS,-0.01573150716802034,-0.020286964221665593,-0.009777476891489497,1.0,0.034202885115855425,0.029803608967197047,0.03867394189784627,-334.1650547814179,-371.5660763054737,-294.96529630195397
F3,Tweedie GLM,WLS,0.0027264888054407688,-0.01757765155530052,0.025480950445873975,0.532,0.09561036258187852,0.08804968112989246,0.10340177919775718,-934.1212573624052,-995.1604722130941,-878.7508219700792
F3,Two-part,WLS,-0.030211592130550843,-0.04153823344228841,-0.020085171415067972,1.0,0.053831735041430795,0.046970462808767675,0.06124523857419028,-525.9405640245113,-578.4770279764733,-468.87558745374093
F3,Elastic net,WLS,-0.0068538566699300335,-0.011185456800660206,-0.0008041654984673564,0.988,0.04827596518334801,0.04419183635236515,0.052700440526591216,-471.6602267754588,-501.7895705260563,-441.7712906509783
F3,LightGBM (Tweedie),WLS,0.06409639298429426,0.04737808921022026,0.090591649347923,0.0,0.12889722513814988,0.12081984942480477,0.1371484936337546,-1259.3366949472756,-1326.5443286900152,-1195.7874967989244
F3,LightGBM (squared error),WLS,0.06073523947500983,0.04406995691160745,0.08322044416650909,0.0,0.11703096686661335,0.10901345937741654,0.12446283973501242,-1143.4023568957682,-1213.1548158141015,-1077.4944051631867
F3,Random forest,WLS,0.06651105166856605,0.05338149475514598,0.08514742509206069,0.0,0.12074799226583227,0.1130463192802401,0.12821244417055397,-1179.7180066412957,-1243.0569077270743,-1118.640425423545
F3,Neural network,WLS,-0.017934044701271648,-0.037514560761751116,-0.004298121469952604,0.998,0.08624666705763731,0.07961526079331654,0.0933771507859147,-842.6371671397337,-894.356758309032,-791.8779638657405
F3,CANN,WLS,0.0007934451859798602,-0.019947618228316498,0.023273508328338133,0.544,0.0953769289347052,0.08789381967091418,0.1034688247010857,-931.8405910609717,-991.7099342674229,-876.6474805374993
F1,LightGBM (Tweedie),WLS,-0.0011629686499769337,-0.0025580444315596086,0.00018613057896882832,0.95,-0.0037535307919057265,-0.0053897823535604805,-0.0022806250235494104,36.672310492293036,22.27510379119467,52.572557043992944
F1,Payment-form WLS (non-negative),WLS,-0.00035889532272770364,-0.0008499431844317503,0.00015233874197055915,0.92,-0.00041619828035947826,-0.0017449250058293737,0.0008167295368698005,4.0662920886679785,-7.95652494752012,16.877955411022498
F2,LightGBM (Tweedie),WLS,-0.0020229671491458767,-0.005884513754775299,0.0032933348154939803,0.772,0.011893369965255474,0.008730044696576846,0.015501014811811084,-116.19922157189285,-150.5835898483393,-85.17444152087963
F2,Payment-form WLS (non-negative),WLS,-0.004821002199900407,-0.0080515607930345,-0.0010707910923160398,0.994,0.0040273350059029656,0.0012343492436300112,0.0070507781194535995,-39.34740061582852,-69.83699522285967,-12.133316718869509
F4,LightGBM (Tweedie),WLS,0.0614822597061635,0.0463906250461808,0.08479996624376653,0.0,0.1276829055072635,0.11945674482185398,0.13558878021780518,-1247.4726903581077,-1311.805499906828,-1181.0738640098991
F4,Payment-form WLS (non-negative),WLS,-0.013727362495365741,-0.017986368297579217,-0.008165955708865465,1.0,0.03303787181461176,0.02838853177254776,0.03750503373523056,-322.78277716616867,-359.6407871274905,-282.6853645272478
