feature_set,model,fold,rank,flag,training_gain
F3,Two-part,2,3,MUS003,2987.7675955963323
F3,Two-part,2,4,NEO030,2986.0197833490324
F3,Two-part,2,5,NEO039,2709.2417316232954
F3,LightGBM (Tweedie),2,1,PRG029,3451.9854685391015
F3,LightGBM (Tweedie),2,2,MUS003,2489.8946973087473
F3,LightGBM (Tweedie),2,3,NVS009,2405.2460330486315
F3,LightGBM (Tweedie),2,4,NVS017,2217.1153068349495
F3,LightGBM (Tweedie),2,5,MUS026,2159.7264303032157
F3,LightGBM (squared error),2,1,NVS017,5409.855474180432
F3,LightGBM (squared error),2,2,MUS026,5002.285918765146
F3,LightGBM (squared error),2,3,MUS003,4455.39369968457
F3,LightGBM (squared error),2,4,PRG029,4183.048589885675
F3,LightGBM (squared error),2,5,NEO030,3621.749699646993
F3,CANN,2,1,NVS009,4937.289367211603
F3,CANN,2,2,DEN001,3969.6810735149306
F3,CANN,2,3,MUS026,3758.7744267035687
F3,CANN,2,4,MUS003,3692.519459327862
F3,CANN,2,5,NEO030,3031.13448816026
F3,Constrained WLS,2,1,NVS015,17726.33975993561
F3,Constrained WLS,2,2,NVS009,16988.434496002403
F3,Constrained WLS,2,3,MUS003,11348.830552203159
F3,Constrained WLS,2,4,MUS026,9795.132875230725
F3,Constrained WLS,2,5,RSP008,9326.057007730125
F3,WLS,3,1,NVS015,11441.45813478142
F3,WLS,3,2,MUS003,10783.999881282167
F3,WLS,3,3,CIR019,9634.110479294572
F3,WLS,3,4,GEN006,8991.782599373206
F3,WLS,3,5,NVS009,8147.868102629304
F3,Payment-form WLS (non-negative),3,1,NVS015,12547.573074229736
F3,Payment-form WLS (non-negative),3,2,MUS003,11321.638095286817
F3,Payment-form WLS (non-negative),3,3,CIR019,10405.00351644429
F3,Payment-form WLS (non-negative),3,4,GEN006,9866.40728465524
F3,Payment-form WLS (non-negative),3,5,NVS009,9477.619755914006
F3,Tweedie GLM,3,1,NVS009,5088.109125143138
F3,Tweedie GLM,3,2,MUS003,4086.3690837338604
F3,Tweedie GLM,3,3,MUS026,3959.8382229153294
F3,Tweedie GLM,3,4,RSP016,3118.1364085698483
F3,Tweedie GLM,3,5,GEN006,2864.4904639454717
F3,Two-part,3,1,GEN006,1926.318476424157
F3,Two-part,3,2,NVS009,1716.7976051852272
F3,Two-part,3,3,MUS013,1585.3359152352596
F3,Two-part,3,4,GEN007,1499.6380133481684
F3,Two-part,3,5,MUS026,1472.9683150047822
F3,LightGBM (Tweedie),3,1,MUS003,2615.5190443852725
F3,LightGBM (Tweedie),3,2,PRG029,2151.8952809494194
F3,LightGBM (Tweedie),3,3,NVS009,2061.947653684537
F3,LightGBM (Tweedie),3,4,MUS026,2016.019577036165
F3,LightGBM (Tweedie),3,5,END002+END005,1987.9744041939498
F3,LightGBM (squared error),3,1,GEN006,7651.6427488371055
F3,LightGBM (squared error),3,2,MUS003,7283.28559724603
F3,LightGBM (squared error),3,3,MUS026,5877.812204448157
F3,LightGBM (squared error),3,4,CIR019,5857.080733281097
F3,LightGBM (squared error),3,5,NVS017,5515.238359308771
F3,CANN,3,1,NVS009,5088.109125143138
F3,CANN,3,2,MUS003,4086.3690837338604
F3,CANN,3,3,MUS026,3959.8382229153294
F3,CANN,3,4,RSP016,3118.1364085698483
F3,CANN,3,5,GEN006,2864.4904639454717
F3,Constrained WLS,3,1,NVS009,20839.775853049043
F3,Constrained WLS,3,2,NVS015,16374.628508669346
F3,Constrained WLS,3,3,MUS003,14770.623131559283
F3,Constrained WLS,3,4,CIR019,12809.406524885339
F3,Constrained WLS,3,5,MUS026,12201.360189061435
F3,WLS,4,1,NVS015,11481.67765433982
F3,WLS,4,2,MUS003,10310.337761078146
F3,WLS,4,3,GEN006,9041.37396395954
F3,WLS,4,4,DIG001,7080.686874922087
F3,WLS,4,5,INF009,6941.973987716231
F3,Payment-form WLS (non-negative),4,1,NVS015,11950.061455041608
F3,Payment-form WLS (non-negative),4,2,MUS003,11288.046972717026
F3,Payment-form WLS (non-negative),4,3,GEN006,9900.705219967145
F3,Payment-form WLS (non-negative),4,4,INF009,7268.886894631694
F3,Payment-form WLS (non-negative),4,5,CIR019,7109.371459246117
F3,Tweedie GLM,4,1,NVS009,4320.240606282812
F3,Tweedie GLM,4,2,MUS003,3928.398258971849
F3,Tweedie GLM,4,3,INF009,2894.2018256242513
F3,Tweedie GLM,4,4,GEN006,2804.120413483717
F3,Tweedie GLM,4,5,DIG001,2700.7814466384507
F3,Two-part,4,1,GEN008,1741.169648753594
F3,Two-part,4,2,MUS013,1565.8717733135616
F3,Two-part,4,3,NVS009,1512.4977802498236
F3,Two-part,4,4,MUS003,1421.4916219809747
F3,Two-part,4,5,MBD003,1410.3415571136393
F3,LightGBM (Tweedie),4,1,PRG029,2955.1443223196648
F3,LightGBM (Tweedie),4,2,MUS003,2054.999935537911
F3,LightGBM (Tweedie),4,3,NVS017,1935.4883524086556
F3,LightGBM (Tweedie),4,4,NVS009,1833.294767793212
F3,LightGBM (Tweedie),4,5,MUS033,1674.699908131894
F3,LightGBM (squared error),4,1,NVS017,3721.5073640217897
F3,LightGBM (squared error),4,2,PRG029,3469.1667521235036
F3,LightGBM (squared error),4,3,MUS003,3248.782375704731
F3,LightGBM (squared error),4,4,GEN006,3057.21527387783
F3,LightGBM (squared error),4,5,NVS009,2315.4977839739304
F3,CANN,4,1,NVS009,4320.240606282812
F3,CANN,4,2,MUS003,3928.398258971849
F3,CANN,4,3,INF009,2894.2018256242513
F3,CANN,4,4,GEN006,2804.120413483717
F3,CANN,4,5,DIG001,2700.7814466384507
F3,Constrained WLS,4,1,NVS015,16610.334740639926
F3,Constrained WLS,4,2,NVS009,16019.314011444094
F3,Constrained WLS,4,3,MUS003,13207.54089081252
F3,Constrained WLS,4,4,NVS012,10032.792650705427
F3,Constrained WLS,4,5,CIR019,9594.77560493952
F2,WLS,0,1,NVS015,12304.238456452103
F2,WLS,0,2,MUS003,11868.442392929423
F2,WLS,0,3,GEN006,10747.125196926147
F2,WLS,0,4,CIR019,9811.27316399282
F2,WLS,0,5,EYE005,9710.227298658067
F2,Payment-form WLS (non-negative),0,1,NVS015,12960.267484896132
F2,Payment-form WLS (non-negative),0,2,MUS003,12050.41055721992
F2,Payment-form WLS (non-negative),0,3,GEN006,10878.514453811358
F2,Payment-form WLS (non-negative),0,4,CIR019,9908.977227985815
F2,Payment-form WLS (non-negative),0,5,NVS009,9778.454119773645
F2,Tweedie GLM,0,1,NVS009,7905.472876172432
F2,Tweedie GLM,0,2,MBD014,7414.991387291743
F2,Tweedie GLM,0,3,PRG029,6221.744283274699
F2,Tweedie GLM,0,4,MUS003,6152.041545254261
F2,Tweedie GLM,0,5,NEO030,5884.35237228617
F2,Two-part,0,1,MUS026,2123.2555814308253
F2,Two-part,0,2,NVS009,2069.338767788986
F2,Two-part,0,3,GEN006,2009.120562468326
F2,Two-part,0,4,GEN007,1881.709220232135
F2,Two-part,0,5,MUS003,1845.18190527305
F2,LightGBM (Tweedie),0,1,MUS003,6642.405915154412
F2,LightGBM (Tweedie),0,2,NVS009,6611.65348734746
F2,LightGBM (Tweedie),0,3,GEN006,6090.026245543489
F2,LightGBM (Tweedie),0,4,NEO030,5760.131343608349
F2,LightGBM (Tweedie),0,5,MUS026,5200.743274121157
F2,LightGBM (squared error),0,1,MUS003,9840.941152781697
F2,LightGBM (squared error),0,2,GEN006,9004.312769381655
F2,LightGBM (squared error),0,3,NVS015,7151.562566455721
F2,LightGBM (squared error),0,4,NEO030,7038.928862041468
F2,LightGBM (squared error),0,5,NVS009,6839.8467499033495
F2,CANN,0,1,CIR019,15353.00492578332
F2,CANN,0,2,NVS006,12001.392405212684
F2,CANN,0,3,GEN006,11108.54912247604
F2,CANN,0,4,NEO030,10745.05620477246
F2,CANN,0,5,RSP008,7632.6919034899765
F2,Constrained WLS,0,1,NVS009,26783.928464074215
F2,Constrained WLS,0,2,NVS015,18628.395013919795
F2,Constrained WLS,0,3,MUS003,17400.199262757644
F2,Constrained WLS,0,4,CIR019,15581.080090802148
F2,Constrained WLS,0,5,MUS026,14696.906494708619
F2,WLS,1,1,CIR019,12539.222944205172
F2,WLS,1,2,GEN006,10399.885305145777
F2,WLS,1,3,NVS009,10335.25993485346
F2,WLS,1,4,MUS003,8869.075381252247
F2,WLS,1,5,DIG001,8559.718530513032
F2,Payment-form WLS (non-negative),1,1,CIR019,12624.090755868412
F2,Payment-form WLS (non-negative),1,2,NVS009,11041.225793901684
