feature,label,mean_abs_shap,sd_across_folds,rank,cann_permutation_r2_loss
ccsr_CIR030,CIR030 Aortic and peripheral arterial embolism or thrombosis,3.2259345847976015,7.2134090225749965,111,
ccsr_SYM010,SYM010 Nervous system signs and symptoms,3.1949041999614733,3.058709665476715,112,
ccsr_END007,END007 Nutritional deficiencies,3.1446310713510552,2.179612142459455,113,
ccsr_NEO028,NEO028 Skin cancers - all other types,3.1394350532863933,3.218538202674307,114,
ccsr_FAC013,FAC013 Contraceptive and procreative management,3.13189231174175,2.834764194130448,115,
ccsr_GEN005,GEN005 Calculus of urinary tract,2.9238098466385156,5.323542820223267,116,
ccsr_MBD003,MBD003 Bipolar and related disorders,2.8278080206378062,2.947089685513824,117,
ccsr_MBD007,MBD007 Trauma- and stressor-related disorders,2.650278770097009,2.96028510419579,118,
ccsr_SYM011,SYM011 Genitourinary signs and symptoms,2.575083131980855,3.5537023774765197,119,
ccsr_EAR001,EAR001 Otitis media,2.1485723070002485,1.327124603253338,120,
ccsr_SYM004,SYM004 Nausea and vomiting,2.1253438939910176,2.3081927887930154,121,
age_5-17_x_female,age_5-17_x_female,1.5822884874119025,1.965685374063114,122,
ccsr_RSP003,RSP003 Influenza,1.5752073151327965,0.9724026830842987,123,
ccsr_END015,END015 Other specified and unspecified endocrine disorders,1.539040471442303,1.3918651049023876,124,
ccsr_EYE003,EYE003 Glaucoma,1.4845343598480003,1.2636414911438856,125,
ccsr_DIG010,DIG010 Abdominal hernia,1.3129678797538347,2.294489258713994,126,
ccsr_RSP005,RSP005 Acute bronchitis,1.2597518998484094,1.3697273685953235,127,
ccsr_INJ061,"INJ061 Sprains and strains, subsequent encounter",1.160535883976634,1.2720108827290069,128,
ccsr_MUS007,MUS007 Other specified joint disorders,1.1545770673481666,1.5702649025731532,129,
ccsr_INJ041,"INJ041 Fracture of the upper limb, subsequent encounter",1.0505352133278036,1.2943341141908344,130,
ccsr_CIR015,CIR015 Other and ill-defined heart disease,1.0126515162780625,2.2643576279159827,131,
ccsr_MUS028,MUS028 Other specified bone disease and musculoskeletal deformities,0.844952744222023,0.6427936842213651,132,
ccsr_NVS006,NVS006 Other nervous system disorders (often hereditary or degenerative),0.8011879820523369,1.1911831160587083,133,
ccsr_DEN001,DEN001 Any dental condition including traumatic injury,0.7906221762477932,1.3258970459095574,134,
ccsr_SYM015,SYM015 General sensation/perception signs and symptoms,0.753735961090666,0.6944211299677246,135,
ccsr_NEO073,NEO073 Benign neoplasms,0.7405102068442704,1.0172713974929914,136,
ccsr_GEN025,GEN025 Other specified female genital disorders,0.6685519694217745,1.4949276501184485,137,
ccsr_CIR012,CIR012 Nonspecific chest pain,0.6233848932237497,0.8538129229878834,138,
ccsr_RSP001,RSP001 Sinusitis,0.6208230549475756,1.0327605673917946,139,
ccsr_MUS009,MUS009 Tendon and synovial disorders,0.538182297317902,1.2034122010898318,140,
ccsr_RSP002,RSP002 Pneumonia (except that caused by tuberculosis),0.5352237279826688,0.7742026057686849,141,
ccsr_INJ042,"INJ042 Fracture of lower limb (except hip), subsequent encounter",0.5162487700480949,0.7070602664226564,142,
age_0-4_x_female,age_0-4_x_female,0.4446861292992913,0.9943484137644764,143,
ccsr_SYM014,SYM014 Skin/Subcutaneous signs and symptoms,0.42472747787206633,0.6144764123462688,144,
ccsr_GEN017,GEN017 Nonmalignant breast conditions,0.3485741406821579,0.77943547376388,145,
ccsr_GEN016,GEN016 Other specified male genital disorders,0.26772992593590095,0.5986623140036584,146,
ccsr_EAR006,EAR006 Other specified and unspecified disorders of the ear,0.21909183114862665,0.489904227763235,147,
ccsr_EYE012,EYE012 Other specified eye disorders,0.19855600060033032,0.44398471468282763,148,
ccsr_FAC025,FAC025 Other specified status,0.17326608306131058,0.3874347399202153,149,
ccsr_MBD013,MBD013 Miscellaneous mental and behavioral disorders/conditions,0.0,0.0,150,
ccsr_SYM002,SYM002 Fever,0.0,0.0,151,
ccsr_SKN005,SKN005 Contact dermatitis,0.0,0.0,152,
ccsr_NEO025,NEO025 Skin cancers - melanoma,0.0,0.0,153,
ccsr_INJ027,INJ027 Other unspecified injury,0.0,0.0,154,
ccsr_GEN007,GEN007 Other specified and unspecified diseases of bladder and urethra,0.0,0.0,155,
ccsr_DIG019,DIG019 Other specified and unspecified liver disease,0.0,0.0,156,
ccsr_INJ049,"INJ049 Open wounds to limbs, subsequent encounter",0.0,0.0,157,
